greek,russian,english,example,category
η ροπή,склонность,tendency / inclination,Η ροπή προς τον λαϊκισμό αποτελεί κίνδυνο για τα σύγχρονα δημοκρατικά συστήματα.,18 Mar
ορθός λόγος,здравый смысл,rational thinking,"Ο ορθός λόγος πρέπει να κατευθύνει τις πολιτικές αποφάσεις, όχι τα συναισθήματα.",7 Mar
Πρόκειται για συστημικό πρόβλημα.,Это системная проблема.,It is a systemic problem.,Πρόκειται για συστημικό πρόβλημα που δεν λύνεται με αποσπασματικές παρεμβάσεις.,Фразы уровня Γ2
πυγμή,"кулак, решительность","fist, determination","Η κυβέρνηση επέδειξε πυγμή στις διαπραγματεύσεις, αλλά τα αποτελέσματα αμφισβητούνται.",22 Oct
συμμετοχή στις εκλογές,участие в выборах,participation in elections,Η συμμετοχή στις εκλογές μειώθηκε δραματικά στις νεότερες ηλικιακές ομάδες.,Ιστορία 21
το δείγμα,"образец, выборка",sample,Το δείγμα της έρευνας περιλαμβάνει δύο χιλιάδες πολίτες από όλες τις περιφέρειες.,12 May
---,Право и закон,,,
έγκλημα,преступление,crime,"Το οργανωμένο έγκλημα αποτελεί σοβαρή απειλή για την εθνική ασφάλεια, σύμφωνα με την Αστυνομία.",17 Mar
εγκληματικότητα,преступность,criminality,Η εγκληματικότητα στο κέντρο της Αθήνας μειώθηκε κατά 15% τον τελευταίο χρόνο.,20 Dec
το έγκλημα,преступление,crime,Το έγκλημα διαπράχθηκε τις πρώτες πρωινές ώρες σε κεντρικό δρόμο της πόλης.,20 Dec
εκβιάζω,шантажировать,to blackmail,Ο κατηγορούμενος φέρεται να εκβίαζε επιχειρηματίες για μεγάλα χρηματικά ποσά.,22 Oct
παραβιάζω,нарушать,violate,Η εταιρεία παραβίασε τον Κανονισμό Προστασίας Δεδομένων και της επιβλήθηκε πρόστιμο εκατομμυρίων.,27 Jan
παραβιάζω την ιδιωτικότητα,нарушать частную жизнь,to violate privacy,Η εφαρμογή φέρεται να παραβιάζει την ιδιωτικότητα εκατομμυρίων χρηστών.,30 Sep
η θυματοποίηση,виктимизация,victimisation,Η θυματοποίηση των ανηλίκων στο διαδίκτυο αποτελεί φαινόμενο που ανησυχεί τις αρχές.,27 Feb
θυματοποιώ,виктимизировать,to victimise,Τα μέσα κοινωνικής δικτύωσης θυματοποιούν συχνά ευάλωτες κοινωνικές ομάδες.,27 Feb
το θύμα,жертва,victim,Το θύμα της επίθεσης μεταφέρθηκε εσπευσμένα στο νοσοκομείο με σοβαρά τραύματα.,30 May
η μοίρα,судьба / воинское подразделение,fate / military unit,"Η μοίρα των αγνοούμενων παραμένει άγνωστη, σύμφωνα με τις αρχές.",7 Mar
μοίρα,судьба,fate,Κανείς δεν γνωρίζει ακόμη τη μοίρα των παγιδευμένων εργατών στο ορυχείο.,22 Dec
νομιμοποίηση,легализация,legalisation,Η νομιμοποίηση εσόδων από εγκληματικές δραστηριότητες αποτελεί διακρατική πρόκληση.,27 Jan
νομιμοποιώ,легализовать,legalise,Το κράτος δεν μπορεί να νομιμοποιεί πρακτικές που υπονομεύουν τα ατομικά δικαιώματα.,27 Jan
«σκηνοθετημένα» ύποπτη,постановочно подозрительная,staged suspiciously,Η υπόθεση χαρακτηρίστηκε «σκηνοθετημένα» ύποπτη από τους ερευνητές της δίωξης.,5 Mar — история о взломе
ένεκα,вследствие / из-за,due to,"Ένεκα σοβαρών ενδείξεων, το δικαστήριο αποφάσισε την προφυλάκιση του κατηγορουμένου.",18 Mar — Prepositions
αθετώ,нарушать (обещание),to violate (a promise),Η κυβέρνηση κατηγορείται ότι αθετεί τις δεσμεύσεις της προς τους πολίτες.,25 Feb
αθώος οδηγός,невиновный водитель,innocent driver,Ένας αθώος οδηγός τραυματίστηκε σοβαρά κατά την αστυνομική καταδίωξη.,30 Sep
αιτιολογώ,"обосновывать, аргументировать",justify,Ο νομοθέτης οφείλει να αιτιολογεί κάθε περιορισμό ελευθεριών με συγκεκριμένα στοιχεία.,27 Jan
